iter	Passed	Remaining
0	2	255
1	4	222
2	6	201
3	7	181
4	8	170
5	9	151
6	10	137
7	11	126
8	11	117
9	12	110
10	12	103
11	13	97
12	13	93
13	14	88
14	15	85
15	15	81
16	16	78
17	16	76
18	17	73
19	17	71
20	18	68
21	18	66
22	19	65
23	19	63
24	20	61
25	21	60
26	21	58
27	22	57
28	22	55
29	23	54
30	23	53
31	24	51
32	25	50
33	25	49
34	26	48
35	26	47
36	27	46
37	27	45
38	28	44
39	29	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	38
45	32	37
46	32	36
47	33	36
48	33	35
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	37	29
56	38	28
57	38	28
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	22
65	43	22
66	43	21
67	44	20
68	44	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	57	5
91	57	5
92	58	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
